,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint_color,size,title_status,transmission,type,Price,VIN,Link
111,2012 honda accord,Honda,Accord,2012, good, 4 cylinders,, gas,110000,,, salvage, automatic,,"$5,500 ",,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord/6701599822.html
112,Honda accord LX 2015 salvage,Honda,Accord,2015, like new, 4 cylinders, fwd, gas,55000, grey, full-size, salvage, automatic, sedan,"$11,500 ", Salvage,https://losangeles.craigslist.org/lac/cto/d/honda-accord-lx-2015-salvage/6701319431.html
113,CLEAN TITLE 2010 Honda Accord Coupe EX - WHITE and CLEAN!,Honda,Accord,2010, excellent, 4 cylinders,, gas,80000, white,, clean, automatic, coupe,"$8,500 ",,https://losangeles.craigslist.org/lac/cto/d/clean-title-2010-honda-accord/6680754286.html
114,2014 Honda Accord Sport for Sale,Honda,Accord,2014, excellent,,, gas,55000,,, clean, automatic,,"$13,750 ",,https://losangeles.craigslist.org/wst/cto/d/2014-honda-accord-sport-for/6700597344.html
115,2010 Honda accord coupe V6,Honda,Accord,2010, good, 6 cylinders,, gas,126000,,, clean, automatic, coupe,"$8,500 ",,https://losangeles.craigslist.org/ant/cto/d/2010-honda-accord-coupe-v6/6700562398.html
116,"2008 Honda Accord - LOW MILEAGE, LOOKS NEW",Honda,Accord,2008, excellent, 4 cylinders, fwd, gas,88000, white, full-size, clean, automatic, sedan,"$6,499 ",,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-accord-low-mileage/6700248160.html
117,2012 Honda Accord,Honda,Accord,2012, like new, 4 cylinders, fwd, gas,105000, custom, full-size, lien, automatic, sedan,"$9,000 ",,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-accord/6679052143.html
118,2013 Honda Accord EX,Honda,Accord,2013, excellent, 4 cylinders, fwd, gas,36000, black, full-size, salvage, automatic, sedan,"$14,000 ",,https://losangeles.craigslist.org/lac/cto/d/2013-honda-accord-ex/6699787629.html
119,2010 honda accord,Honda,Accord,2010, good,,, gas,126800, black,, clean, automatic,,"$4,999 ", 1hgcp2f34aa056185,https://losangeles.craigslist.org/lgb/cto/d/2010-honda-accord/6692646074.html
120,2010 honda accord,Honda,Accord,2010, good,,, gas,126800, black,, clean, automatic,,"$4,999 ", 1hgcp2f34aa056185,https://losangeles.craigslist.org/lgb/cto/d/2010-honda-accord/6692646074.html
121,2007 Honda Accord EX,Honda,Accord,2018, excellent, 4 cylinders,, gas,132, silver,, clean, automatic,,"$4,750 ",,https://losangeles.craigslist.org/lac/cto/d/2007-honda-accord-ex/6699654358.html
122,2018 Honda Accord no credit check,Honda,Accord,2018, new, 6 cylinders, fwd, gas,2100, grey, full-size, clean, automatic, sedan,"$30,000 ",,https://losangeles.craigslist.org/sfv/cto/d/2018-honda-accord-no-credit/6699551782.html
123,2008 HONDA ACCORD EXL,Honda,Accord,2008, excellent, 4 cylinders, fwd, gas,93350, blue, mid-size, clean, automatic, sedan,"$6,975 ",,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord-exl/6699463375.html
124,2009 Honda Accord EX-L,Honda,Accord,2009, good, 4 cylinders,, gas,124000,,, clean, manual,,"$4,900 ",,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-ex/6698784207.html
125,2012 Honda Accord -SE 41K miles,Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,41600, grey, full-size, clean, automatic, sedan,"$11,500 ", 1HGCP2F67CA054931,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-se-41k-miles/6698771114.html
126,2010 Honda Accord LX Sedan 4D,Honda,Accord,2010, good, 4 cylinders, fwd, gas,115000, silver,, clean, automatic, sedan,"$6,750 ",,https://losangeles.craigslist.org/sfv/cto/d/2010-honda-accord-lx-sedan-4d/6698180725.html
127,"2012 May Honda Accord special edition Low Miles, Very well kept - $114",Honda,Accord,2012, like new, 4 cylinders, rwd, gas,55000, black, full-size, clean, automatic, sedan,"$11,499 ",,https://losangeles.craigslist.org/sgv/cto/d/2012-may-honda-accord-special/6698063603.html
128,"2012 May Honda Accord special edition Low Miles, Very well kept",Honda,Accord,2012, like new, 4 cylinders, fwd, gas,55000, black, mid-size, clean, automatic, sedan,"$11,499 ",,https://losangeles.craigslist.org/sfv/cto/d/2012-may-honda-accord-special/6698024379.html
129,2015 Honda Accord LX,Honda,Accord,2015, excellent, 4 cylinders, fwd, gas,44000, grey, mid-size, salvage, automatic, coupe,"$11,500 ",,https://losangeles.craigslist.org/wst/cto/d/2015-honda-accord-lx/6673780259.html
130,2008 Honda Accord EX fully loaded,Honda,Accord,2008, excellent, 6 cylinders, fwd, gas,208000, grey, compact, clean, automatic,,"$6,500 ",,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-accord-ex-fully/6680997447.html
131,"2009 Honda Accord , One Owner, Clean Title - $6900",Honda,Accord,2009, good, 4 cylinders, fwd, gas,113000, grey, full-size, clean, automatic, sedan,"$6,900 ",,https://losangeles.craigslist.org/wst/cto/d/2009-honda-accord-one-owner/6697737228.html
132,2018 HONDA ACCORD LX,Honda,Accord,2018, new, 4 cylinders, fwd, gas,1030, white,, clean, automatic, sedan,"$21,795 ", 1HGCV1F15JA156990,https://losangeles.craigslist.org/wst/cto/d/2018-honda-accord-lx/6692073401.html
133,Honda Accord 2013 EXL for Sale,Honda,Accord,2013, like new, 4 cylinders, fwd, gas,52000, green, full-size, clean, automatic, sedan,"$14,500 ",,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-2013-exl-for-sale/6697367128.html
134,2008 HONDA ACCORD,Honda,Accord,2008, good, 6 cylinders,, gas,140000, white, full-size, clean, automatic, sedan,"$6,300 ",,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-accord/6697097868.html
135,2007 Honda Accord EX,Honda,Accord,2018, excellent, 4 cylinders,, gas,132, silver,, clean, automatic,,"$4,850 ",,https://losangeles.craigslist.org/lac/cto/d/2007-honda-accord-ex/6697058358.html
136,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner",Honda,Accord,2014, like new, 4 cylinders,, gas,56900, black,, clean, automatic, sedan,"$13,400 ", 1HGCR2F72EA172102,https://losangeles.craigslist.org/wst/cto/d/honda-accord-ex-sedanmiles/6673240719.html
137,2013 Honda Accord Sport,Honda,Accord,2013, excellent, 4 cylinders,, gas,57000, blue,, clean, automatic,,"$14,000 ",,https://losangeles.craigslist.org/lgb/cto/d/2013-honda-accord-sport/6696256739.html
138,Honda Accord 2011 v6 exl 105k miles leather seats clean title,Honda,Accord,2011, good, 6 cylinders, fwd, gas,105000, silver, mid-size, clean, automatic, sedan,"$8,900 ",,https://losangeles.craigslist.org/lgb/cto/d/honda-accord-2011-v6-exl-105k/6696103389.html
139,"Honda Accord $13,500 OBO",Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,51000, black, mid-size, clean, automatic, coupe,"$13,500 ", 1HGCS1B35CA000290,https://losangeles.craigslist.org/ant/cto/d/honda-accordobo/6695724595.html
140,2013 Honda Accord Ex L,Honda,Accord,2013, excellent, 4 cylinders, fwd, gas,84000, grey, compact, salvage, automatic, coupe,"$8,000 ",,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-accord-ex/6695568938.html
141,2008 honda accord lx,Honda,Accord,2008, good, 4 cylinders,, gas,63000,,, salvage, automatic,,"$6,300 ",,https://losangeles.craigslist.org/sfv/cto/d/2008-honda-accord-lx/6690128097.html
142,2016 Honda Accord Touring SEDAN,Honda,Accord,2016, excellent, 6 cylinders, fwd, gas,21150,,, clean, automatic, sedan,"$18,000 ",,https://losangeles.craigslist.org/lac/cto/d/2016-honda-accord-touring/6694594162.html
143,2009 Honda Accord EX-L V6 Sedan - Well Maintained,Honda,Accord,2009, excellent, 6 cylinders, fwd, gas,194000, black, mid-size, clean, automatic, sedan,"$6,500 ",,https://losangeles.craigslist.org/sgv/cto/d/2009-honda-accord-ex-v6-sedan/6694559918.html
144,2017 honda accord sport,Honda,Accord,2017, good, 4 cylinders,, gas,10169, white, full-size, clean, automatic, sedan,"$19,800 ",,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6694475098.html
145,2017 Honda accord sport,Honda,Accord,2017, excellent, 4 cylinders, fwd, gas,6464, white, full-size, clean, automatic, sedan,"$19,500 ",,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6694400040.html
146,"2012 Honda Accord Sedan (4) door, brown",Honda,Accord,2012, excellent, 4 cylinders,, gas,112000, brown, full-size, clean, automatic, sedan,"$7,000 ",,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-accord-sedan-4/6676179332.html
147,2013 HONDA ACCORD 4 DOOR WHITE AUTOMATIC,Honda,Accord,2013, like new, 4 cylinders, fwd, gas,49500, white, mid-size, clean, automatic, sedan,"$13,880 ", 1HGCR2F51DA245053,https://losangeles.craigslist.org/sgv/cto/d/2013-honda-accord-4-door/6693816531.html
148,2013 Honda awd LOW MILES!!,Honda,Accord,2013, like new, 6 cylinders,, gas,32000, black,, clean, automatic,,"$16,000 ",,https://losangeles.craigslist.org/wst/cto/d/2013-honda-awd-low-miles/6693785943.html
149,2017 honda accord sport,Honda,Accord,2017, good, 4 cylinders,, gas,10169, white, full-size, clean, automatic, sedan,"$19,800 ",,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6693622954.html
150,2017 Honda accord sport,Honda,Accord,2017, excellent, 4 cylinders, fwd, gas,6464, white, full-size, clean, automatic, sedan,"$19,500 ",,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6693482722.html
151,2009 Honda Accord fully loaded great condition just maintained S.clean,Honda,Accord,2009, excellent, 4 cylinders, rwd, gas,120000, black, mid-size, clean, automatic, sedan,"$7,900 ",,https://losangeles.craigslist.org/sgv/cto/d/2009-honda-accord-fully/6675772576.html
152,2017 honda accord sport,Honda,Accord,2017, good, 4 cylinders,, gas,10169, white, full-size, clean, automatic, sedan,"$19,800 ",,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6692790653.html
153,2017 Honda accord sport,Honda,Accord,2017, excellent, 4 cylinders, fwd, gas,6464, white, full-size, clean, automatic, sedan,"$19,500 ",,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6692702220.html
154,2014 Honda accord exl clean sporty car,Honda,Accord,2014, good, 4 cylinders, fwd, gas,100000, grey, compact, salvage, automatic, coupe,"$8,500 ",,https://losangeles.craigslist.org/wst/cto/d/2014-honda-accord-exl-clean/6678455131.html
155,2012 HONDA ACCORD EX,Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,73116, white, mid-size, clean, automatic, sedan,"$11,900 ", 1HGCP2F73CA134655,https://losangeles.craigslist.org/lac/cto/d/2012-honda-accord-ex/6692651722.html
156,Honda Accord 2010,Honda,Accord,2010, excellent,, fwd, gas,109525, black, mid-size, salvage, automatic, coupe,"$6,100 ",,https://losangeles.craigslist.org/ant/cto/d/honda-accord-2010/6692605409.html
157,2013 HONDA ACCORD LX,Honda,Accord,2013, excellent, 4 cylinders,, gas,51487, black, full-size, clean, automatic,,"$12,300 ",,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-accord-lx/6692483019.html
158,2013 HONDA ACCORD,Honda,Accord,2013, excellent, 4 cylinders,, gas,51487, black, full-size, clean, automatic,,"$12,500 ",,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-accord/6692464479.html
159,2015 HONDA ACCORD EXL V6,Honda,Accord,2015, like new, 6 cylinders,, gas,25000, white, full-size, salvage, automatic, sedan,"$11,500 ",,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-exl-v6/6674660837.html
160,2015 Honda Accord coupe,Honda,Accord,2015, excellent, 4 cylinders,, gas,30000,,, salvage, automatic,,"$9,500 ",,https://losangeles.craigslist.org/sfv/cto/d/2015-honda-accord-coupe/6674435539.html
161,2014 Honda Accord EX-L Navi,Honda,Accord,2014, excellent, 4 cylinders, fwd, gas,19571, black, mid-size, clean, automatic, sedan,"$16,900 ", 1HGCR2F88EA194825,https://losangeles.craigslist.org/lgb/cto/d/2014-honda-accord-ex-navi/6686047631.html
162,2014 Accord Coupe 2DR LX-S,Honda,Accord,2014, excellent, 4 cylinders, fwd, gas,56000, white, mid-size, clean, automatic, coupe,"$12,995 ", 1HGCT1b35ea003688,https://losangeles.craigslist.org/sfv/cto/d/2014-accord-coupe-2dr-lx/6691330201.html
163,2014 Honda Accord Plug-in Hybrid,Honda,Accord,2014, good,,, gas,99000, white,, clean, automatic,,"$13,900 ", JHMCR5F73EC000972,https://losangeles.craigslist.org/sfv/cto/d/2014-honda-accord-plug-in/6691309610.html
164,2014 Honda Accord coupe,Honda,Accord,2014, excellent, 6 cylinders, fwd, gas,89000, white, mid-size, clean, automatic, sedan,"$11,995 ",,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-accord-coupe/6675340333.html
165,2010 Honda Accord LX_57K miles_Super Clean,Honda,Accord,2010, excellent, 4 cylinders, fwd, gas,57208,, mid-size, clean, automatic, sedan,"$10,300 ",,https://losangeles.craigslist.org/wst/cto/d/2010-honda-accord-lx57k/6690892974.html
166,2015 Honda Crosstour - V6 - Still under warranty,Honda,Accord,2015, like new, 6 cylinders,, gas,37800, grey,, lien, automatic,,"$21,000 ",,https://losangeles.craigslist.org/wst/cto/d/2015-honda-crosstour-v6-still/6690410580.html
167,Honda accord,Honda,Accord,2009, excellent,,, gas,106000,,, salvage, automatic,,"$5,300 ",,https://losangeles.craigslist.org/sfv/cto/d/honda-accord/6689479504.html
168,Honda Accord 2014 Aug car done 32200 miles,Honda,Accord,2014, excellent, 4 cylinders, fwd, gas,32200, silver,, clean, automatic, sedan,"$13,700 ",,https://losangeles.craigslist.org/wst/cto/d/honda-accord-2014-aug-car/6689471099.html
169,+++'17 HONDA ACCORD SPORT+++,Honda,Accord,2017, like new, 4 cylinders, fwd, gas,22000, grey,, clean, automatic, sedan,"$19,999 ",,https://losangeles.craigslist.org/lgb/cto/d/17-honda-accord-sport/6666735154.html
170,Honda accord,Honda,Accord,2008, like new, 4 cylinders, fwd, gas,134, grey, mid-size, salvage, automatic, sedan,"$6,000 ",,https://losangeles.craigslist.org/lac/cto/d/honda-accord/6689424800.html
171,2011 Honda Accord coupe v6,Honda,Accord,2011, excellent, 6 cylinders, fwd, gas,114230, blue, compact, clean, manual, coupe,"$10,700 ",,https://losangeles.craigslist.org/sgv/cto/d/2011-honda-accord-coupe-v6/6689349288.html
172,2014 Honda Accord EX,Honda,Accord,2014, excellent, 4 cylinders, rwd, gas,59900, black, mid-size, clean, automatic, sedan,"$14,990 ", 1HGCR2F79EA150887,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-accord-ex/6689305041.html
173,2017 Honda accord sport,Honda,Accord,2017, excellent, 4 cylinders, fwd, gas,6464, white, full-size, clean, automatic, sedan,"$19,500 ",,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6689206444.html
174,2017 HONDA ACCORD SPORT,Honda,Accord,2017, like new, 4 cylinders,, gas,16000, grey, full-size, salvage, automatic, sedan,"$14,900 ",,https://losangeles.craigslist.org/lac/cto/d/2017-honda-accord-sport/6663213279.html
175,2010 Honda Accors EX,Honda,Accord,2010, good, 4 cylinders, fwd, gas,124000, silver, compact, clean, automatic, sedan,"$5,500 ",,https://losangeles.craigslist.org/sfv/cto/d/2010-honda-accors-ex/6688902381.html
176,Honda Accord 2016,Honda,Accord,2016, excellent, 4 cylinders,, gas,18, white,, salvage, automatic, sedan,"$13,000 ",,https://losangeles.craigslist.org/lgb/cto/d/honda-accord-2016/6688576738.html
177,2017 honda accord sport,Honda,Accord,2017, good, 4 cylinders,, gas,10169, white, full-size, clean, automatic, sedan,"$19,800 ",,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-accord-sport/6688352270.html
178,Honda accord 2010,Honda,Accord,2010, good, 4 cylinders,, gas,89400, white,, clean, automatic, sedan,"$10,800 ",,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-2010/6688314285.html
179,2015 honda accord,Honda,Accord,2015, like new, 4 cylinders, fwd, gas,33512, silver, full-size, salvage, automatic, sedan,"$9,500 ",,https://losangeles.craigslist.org/lgb/cto/d/2015-honda-accord/6675634008.html
180,2012 HONDA ACCORD LX,Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,34600, white, mid-size, clean, automatic, sedan,"$13,999 ", 1HGCP2F33CA221923,https://losangeles.craigslist.org/lac/cto/d/2012-honda-accord-lx/6688253705.html
181,2015 Honda Accord Sport 6spd *Pristine*,Honda,Accord,2015, excellent,,, gas,63000,,, clean, manual,,"$15,900 ",,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-sport-6spd/6687624602.html
182,2014 Honda Accord LX,Honda,Accord,2014, excellent, 4 cylinders, fwd, gas,52000, silver, full-size, clean, automatic, sedan,"$13,499 ", 1HGCR2F32EA302571,https://losangeles.craigslist.org/lac/cto/d/2014-honda-accord-lx/6666475569.html
183,Honda Accord EX Sedan,Honda,Accord,2014, excellent, 4 cylinders, fwd, gas,119000, blue, full-size, clean, automatic, sedan,"$10,995 ",,https://losangeles.craigslist.org/wst/cto/d/honda-accord-ex-sedan/6687452286.html
184,2012 HONDA Accord LX-P (Grey),Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,81000, grey, full-size, clean, automatic, sedan,"$9,288 ",,https://losangeles.craigslist.org/sgv/cto/d/2012-honda-accord-lx-grey/6661672236.html
185,2012 honda accord,Honda,Accord,2012, good, 4 cylinders,, gas,128000, silver,, salvage, automatic,,"$6,800 ",,https://losangeles.craigslist.org/ant/cto/d/2012-honda-accord/6686981843.html
186,2008 honda.accord,Honda,Accord,2008, excellent, 4 cylinders, fwd, gas,79, silver, compact, salvage, automatic, sedan,"$5,300 ", Pppp,https://losangeles.craigslist.org/wst/cto/d/2008-hondaaccord/6660739899.html
187,2016 HONDA ACCORD SPORT,Honda,Accord,2016, new, 4 cylinders, fwd, gas,33000, white, compact, salvage, manual, sedan,"$12,900 ",,https://losangeles.craigslist.org/lac/cto/d/2016-honda-accord-sport/6675427204.html
188,2013 Honda Accord EX-L For Sale,Honda,Accord,2013, like new, 4 cylinders, fwd, gas,35639,, full-size, clean, automatic, sedan,"$15,000 ",,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-accord-ex-for-sale/6685446640.html
189,2015 honda accord sport,Honda,Accord,2015, excellent,,, gas,65000,,, clean, automatic,,"$13,000 ",,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-sport/6685345284.html
190,2009 Honda Accord EX-L Coupe,Honda,Accord,2009, good, 6 cylinders, fwd, gas,139587, black, mid-size, clean, automatic, coupe,"$6,800 ", 1HGCS22869A006349,https://losangeles.craigslist.org/sgv/cto/d/2009-honda-accord-ex-coupe/6660954346.html
191,2016 Honda Accord lx,Honda,Accord,2016, good, 4 cylinders, fwd, gas,16300, grey, mid-size, clean, automatic, sedan,"$15,500 ", 1hgcr2f38ga213834,https://losangeles.craigslist.org/wst/cto/d/2016-honda-accord-lx/6684804606.html
0,2013 nissan altima sl,Nissan,Altima,2013, excellent, 4 cylinders, fwd, gas,33000, white,, salvage, automatic,,"$8,200 ",,https://losangeles.craigslist.org/lac/cto/d/2013-nissan-altima-sl/6710629865.html
1,2012 Nissan Altima very clean I would consider taking payments,Nissan,Altima,2012, good, 4 cylinders, fwd, gas,99742, yellow, mid-size, clean, automatic, sedan,"$8,450 ", 1N4AL2AP0CC197828,https://losangeles.craigslist.org/sfv/cto/d/2012-nissan-altima-very-clean/6704188873.html
2,Nissan Altima 2015 2.5 S,Nissan,Altima,2015, like new, 4 cylinders, fwd, gas,48400, black, mid-size, clean, automatic, sedan,"$9,900 ",,https://losangeles.craigslist.org/lac/cto/d/nissan-altima/6698307880.html
3,2014 Nissan Altima S with backup carmera,Nissan,Altima,2014, excellent, 4 cylinders,, gas,72000, black,, clean, automatic,,"$9,500 ",,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-with/6708291807.html
4,2014 Nissan Altima 2.5 s,Nissan,Altima,2014, excellent, 4 cylinders, fwd, gas,55175, brown, mid-size, clean, automatic, sedan,"$9,500 ",,https://losangeles.craigslist.org/ant/cto/d/2014-nissan-altima-25/6710297997.html
5,2014 Nissan Altima,Nissan,Altima,2014, excellent, 4 cylinders, fwd, gas,55715, brown, mid-size, clean, automatic, sedan,"$9,500 ",,https://losangeles.craigslist.org/lgb/cto/d/2014-nissan-altima/6710297935.html
6,2014 Nissan Altima 2.5 s,Nissan,Altima,2014, excellent, 4 cylinders, fwd, gas,55175, brown, mid-size, clean, automatic, sedan,"$9,500 ",,https://losangeles.craigslist.org/sgv/cto/d/2014-nissan-altima-25/6710297865.html
7,2014 Nissan Altima 2.5 s,Nissan,Altima,2014, excellent, 4 cylinders, fwd, gas,55715, brown, mid-size, clean, automatic, sedan,"$9,500 ",,https://losangeles.craigslist.org/lac/cto/d/2014-nissan-altima-25/6710297799.html
